,unique_id,ds,Naive,Naive-lo-70,Naive-lo-80,Naive-lo-90,Naive-hi-70,Naive-hi-80,Naive-hi-90,SeasonalNaive,SeasonalNaive-lo-70,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-hi-70,SeasonalNaive-hi-80,SeasonalNaive-hi-90,WindowAverage,WindowAverage-lo-90,WindowAverage-lo-80,WindowAverage-lo-70,WindowAverage-hi-70,WindowAverage-hi-80,WindowAverage-hi-90,SeasWA,SeasWA-lo-90,SeasWA-lo-80,SeasWA-lo-70,SeasWA-hi-70,SeasWA-hi-80,SeasWA-hi-90,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-lo-80,AutoARIMA-lo-70,AutoARIMA-hi-70,AutoARIMA-hi-80,AutoARIMA-hi-90,y
14,IBOVESPA,2023-10-14,116565.0,110768.43,109397.53,107365.65,122361.57,123732.47,125764.35,116171.0,103378.61,100353.19,95869.055,128963.39,131988.81,136472.94,117226.88,107377.15,108738.3,110194.54,124259.23,125715.47,127076.62,111635.01,105038.41,105564.805,106070.15,117199.87,117705.21,118231.61,116473.0,108122.34,109966.77,111211.195,121734.81,122979.234,124823.664,115754.0
15,IBOVESPA,2023-10-15,116565.0,110578.33,109162.47,107063.95,122551.67,123967.53,126066.05,115592.0,102799.61,99774.19,95290.055,128384.39,131409.81,135893.94,117226.88,107262.0,108361.0,109617.45,124836.31,126092.766,127191.766,111859.0,105381.05,105802.1,106261.15,117456.85,117915.9,118336.95,116473.0,107852.4,109756.445,111041.1,121904.91,123189.56,125093.61,115754.0
16,IBOVESPA,2023-10-16,116565.0,110394.08,108934.65,106771.55,122735.92,124195.35,126358.45,114982.0,102189.61,99164.19,94680.055,127774.39,130799.81,135283.94,117226.88,105799.5,107686.0,109586.95,124866.81,126767.766,128654.266,112052.14,104414.65,104916.3,105535.08,118569.2,119187.984,119689.63,116473.0,107590.65,109552.516,110876.17,122069.836,123393.49,125355.35,116534.0
17,IBOVESPA,2023-10-17,116565.0,110215.17,108713.43,106487.62,122914.83,124416.57,126642.38,115409.0,102616.61,99591.19,95107.055,128201.39,131226.81,135710.94,117226.88,106094.6,107822.2,109567.64,124886.125,126631.56,128359.164,112719.43,104791.85,105216.7,105766.97,119671.89,120222.16,120647.01,116473.0,107336.4,109354.42,110715.97,122230.04,123591.586,125609.61,115908.0
18,IBOVESPA,2023-10-18,116565.0,110041.17,108498.28,106211.48,123088.83,124631.72,126918.52,115409.0,102616.61,99591.19,95107.055,128201.39,131226.81,135710.94,117226.88,106094.6,107822.2,109579.44,124874.33,126631.56,128359.164,112692.15,104855.35,105343.71,105939.33,119444.97,120040.586,120528.945,116473.0,107089.04,109161.695,110560.1,122385.91,123784.31,125856.97,114060.0
19,IBOVESPA,2023-10-19,116565.0,109871.695,108288.72,105942.51,123258.305,124841.28,127187.49,115409.0,102616.61,99591.19,95107.055,128201.39,131226.81,135710.94,117226.88,106094.6,107822.2,109539.54,124914.23,126631.56,128359.164,112677.44,104565.76,104764.516,105153.28,120201.59,120590.36,120789.12,116473.0,106848.03,108973.914,110408.24,122537.766,123972.09,126097.98,114004.0
20,IBOVESPA,2023-10-20,116565.0,109706.41,108084.336,105680.18,123423.59,125045.664,127449.82,114429.0,101636.61,98611.19,94127.055,127221.39,130246.81,134730.94,117226.88,105341.75,106316.5,107515.85,126937.914,128137.266,129112.016,111643.57,104357.99,104362.84,104506.25,118780.89,118924.3,118929.15,116473.0,106612.91,108790.73,110260.09,122685.914,124155.28,126333.1,113155.0
21,IBOVESPA,2023-10-21,116565.0,109545.0,107884.766,105424.04,123585.0,125245.234,127705.96,116156.0,103363.61,100338.19,95854.055,128948.39,131973.81,136457.94,117226.88,105267.55,106588.1,108107.836,126345.93,127865.664,129186.22,111651.56,104079.695,104212.39,104467.17,118835.95,119090.734,119223.43,116473.0,106383.266,108611.805,110115.39,122830.62,124334.2,126562.74,113155.0
22,IBOVESPA,2023-10-22,116565.0,109387.23,107689.68,105173.65,123742.77,125440.32,127956.35,118135.0,105342.61,102317.19,97833.055,130927.39,133952.81,138436.94,117226.88,104148.55,105077.1,106353.19,128100.58,129376.664,130305.22,111697.57,103639.35,104058.695,104460.24,118934.9,119336.445,119755.79,116473.0,106158.734,108436.87,109973.914,122972.09,124509.14,126787.27,113155.0
23,IBOVESPA,2023-10-23,116565.0,109232.85,107498.79,104928.64,123897.15,125631.21,128201.36,117026.0,104233.61,101208.19,96724.055,129818.39,132843.81,137327.94,117226.88,103558.35,104804.7,106353.19,128100.58,129649.06,130895.414,111342.43,102800.55,103289.1,103805.41,118879.45,119395.76,119884.31,116473.0,105938.99,108265.66,109835.45,123110.555,124680.35,127007.016,112785.0
24,IBOVESPA,2023-10-24,116565.0,109081.66,107311.836,104688.695,124048.34,125818.164,128441.305,115837.0,103044.61,100019.19,95535.055,128629.39,131654.81,136138.94,117226.88,103955.5,104988.0,106371.2,128082.56,129465.766,130498.266,111154.72,103323.2,103723.41,104156.766,118152.67,118586.03,118986.234,116473.0,105723.734,108097.945,109699.82,123246.19,124848.06,127222.27,113762.0
25,IBOVESPA,2023-10-25,116565.0,108933.46,107128.586,104453.49,124196.54,126001.414,128676.51,115837.0,103044.61,100019.19,95535.055,128629.39,131654.81,136138.94,117226.88,104879.65,105327.3,106217.3,128236.47,129126.47,129574.12,111085.14,104507.35,104582.695,104700.47,117469.81,117587.586,117662.93,116473.0,105512.71,107933.53,109566.84,123379.16,125012.48,127433.3,112830.0
26,IBOVESPA,2023-10-26,116565.0,108788.086,106948.83,104222.78,124341.914,126181.17,128907.22,115837.0,103044.61,100019.19,95535.055,128629.39,131654.81,136138.94,117226.88,104607.0,104782.0,105477.25,128976.516,129671.766,129846.766,111193.56,104607.0,104782.0,104970.7,117416.42,117605.125,117780.125,116473.0,105305.664,107772.22,109436.39,123509.62,125173.79,127640.34,114777.0
27,IBOVESPA,2023-10-27,116565.0,108645.375,106772.37,103996.3,124484.625,126357.63,129133.7,117121.0,104328.61,101303.19,96819.055,129913.39,132938.81,137422.94,117226.88,104401.45,104417.9,105013.94,129439.83,130035.87,130052.31,111735.0,104401.45,104417.9,104464.75,119005.25,119052.1,119068.55,116473.0,105102.4,107613.84,109308.305,123637.7,125332.164,127843.61,113301.0
28,IBOVESPA,2023-10-28,116565.0,108505.195,106599.04,103773.83,124624.805,126530.96,129356.17,118404.0,105611.61,102586.19,98102.055,131196.39,134221.81,138705.94,117226.88,103713.1,104100.2,105012.89,129440.875,130353.56,130740.664,111724.71,103713.1,104100.2,104462.67,118986.75,119349.22,119736.32,116473.0,104902.695,107458.25,109182.48,123763.53,125487.76,128043.31,113301.0
